Afrikaans	Bengali	Czech	Danish	English	Esperanto	Finnish	Georgian	Hebrew	Italian	Portuguese	Russian	Swahili
		i r s k é   d u d y		u i l l e a n n   p i p e s		s ä k k i p i l l i					и р л а н д с к а я   в о л ы н к а	
			J e l g a v a	J e l g a v a							Е ́ л г а в а	
				p e n t o d e		p e n t o d i						
		p o h l t i t		d e v o u r								
		C v i k o v		Z w i c k a u							Ц в и к к а ́ у	
				s c h i s t o s o m a l						e s q u i s t o s s o m ó t i c o		
				a g r i m i		k r e e t a l a i n e n   v i l l i v u o h i			k r i - k r i			
	জ ি র া	ř í m s k ý   k m í n	s p i d s k o m m e n	c u m i n		j e e r a	ზ ი რ ა	כ מ ו ן	c u m i n o	c o m i n h o	т м и н	j i r a
		t c h a j w a n s k ý		T a i w a n e s e						t a i u a n ê s	т а й в а ́ н ь с к и й	K i t a i w a n i
				c a t s h a r k		k i s s a h a i				p e i x e - g a t o	к о ш а ́ ч ь я   а к у ́ л а	
		n e z á k o n n ý		i l l i c i t		l u v a t o n				i l í c i t o		
				i l l i b e r a l i s m			ა ნ ტ ი ლ ი ბ ე რ ა ლ ი ზ მ ი					
		T e o d o r	T h e o d o r	T h e o d o r e	T e o d o r o	T e u v o	თ ე ვ დ ო რ ე		T e o d o r o	T e o d o r o	Т е о д о ́ р	
				l o n g s p u r		p r e e r i a s i r k k u						
				b r i s t l e	h i r t i ĝ i							
				s c r e e n i n g		s u o j a u s					з а с л о ́ н к а	
		o s p r a v e d l n i t e l n ý		j u s t i f i a b l e		a i h e e l l i n e n			g i u s t i f i c a b i l e	j u s t i f i c á v e l		
				a g g r e g a t i o n		k o o s t e					а г р е г а ́ т	
		m e z u z a	m e z u z a h	m e z u z a h	m e z u z o	m e z u z a		מ ְ ז ו ּ ז ָ ה	m e z u z a h	m e z u z á	м е з у ́ з а	
w u r m	ক ী ট	č e r v	o r m	w o r m	v e r m o	m a t o	ჭ ი ა	ת ּ ו ֹ ל ַ ע ַ ת	v e r m e	v e r m e	г л и с т	
				a b s o l u t e l y		a b s o l u u t t i s e s t i						
				b i t c h		a k k a						
				a p p r a i s a b i l i t y						a v a l i a b i l i d a d e		
		z a s y č e n í		s i z z l e						c h i a d o	ш к в а р ч а ́ н и е	
		h l a v n í   s t r á n k a	h j e m m e s i d e	h o m e   p a g e	h e j m p a ĝ o	e t u s i v u			p o r t a l e	h o m e   p a g e	с т а ́ р т о в а я   с т р а н и ́ ц а	
			k ø n s m o d e n	s e x u a l l y   m a t u r e		s u k u k y p s ä					п о л о в о з р е л ы й	
				S e v e t t i j ä r v i		S e v e t t i j ä r v i						
			u d n y t t e	w o r k							в ы ́ р а б о т а т ь	
				h y p e r s t h e n e		h y p e r s t e e n i			i p e r s t e n e			
				a r v i c o l i d						a r v i c o l í d e o		
				d o u s e		a l a s						
		e m b o l u s		e m b o l u s								
				t r i a g e		l u o k i t t e l u			p r i o r i t à	t r i a g e m		
		z u b n í   k a z		c a r i e s		h a m m a s m ä t ä				c á r i e	к а ́ р и е с   з у б о ́ в	
		o č i t ý   s v ě d e k		e y e w i t n e s s		s i l m i n n ä k i j ä	თ ვ ი თ მ ხ ი ლ ვ ე ლ ი ს	ע ד   ר א י ה	t e s t i m o n e   o c u l a r e	t e s t e m u n h a   o c u l a r	с в и д е ́ т е л ь	
	অ ম ্ ব া			A m b a							А м б а	
				m u t e		m y k i s t ä ä						
	স ো ফ া	d i v a n	s o f a	s o f a	s o f o	s o h v a	ტ ა ხ ტ ი	ס ַ פ ָ ּ ה	s o f à	s o f á	к а н а п е ́	
				a b s t i n e n t i a l						a b s t i n e n c i a l		
				c o p p e r   s h a r k		k u p a r i h a i						
				c a t c h e r		s i e p p a r i				r e c e p t o r	к э ́ т ч е р	
				f o r b e a r		p i d ä t t y ä						
				s u s p e n d		r i i p p u a			a p p e n d e r e	s u s p e n d e r	п о д в е ́ с и т ь	
				c o s t - b e n e f i t   a n a l y s i s	k o s t u t i l e c a   a n a l i z o	a n a l y y s i						
				s t i p u l a r					s t i p u l a r e			
				s e x u a l   m i n o r i t y		s u k u p u o l i v ä h e m m i s t ö					с е к с - м е н ь ш и ́ н с т в о	
				e a s y g o i n g		k i i r e e t ö n						
				g e n o t y p e						g e n o t i p a r		
				f e m a l e								j i k e
				s n a g		u p p o t u k k i					к о р я ́ г а	
				w r i g g l e		k i e m u r t e l u			c o n t o r s i o n e			
				i n t e r s e c t		l e i k a t a				i n t e r s e t a r		
				R u s s o p h o n e	r u s p a r o l a n t o	v e n ä j ä n k i e l i n e n			r u s s o f o n o		р у с с к о я з ы ́ ч н ы й	
				f a n   t r a n s l a t o r						t r a d u t o r   a m a d o r		
		s h r o m á ž d ě n í		a s s e m b l y		k o k o o n t u m i n e n	ყ რ ი ლ ო ბ ა	ע ֲ צ ֶ ר ֶ ת	a s s e m b r a m e n t o	a s s e m b l é i a	л и н е ́ й к а	
				M o z a r t   e f f e c t						e f e i t o   M o z a r t		
				I s t r i o t					i s t r i o t o	i s t r i o t a		
g o l f	উ প স া গ র	z á l i v	b u g t	g u l f	g o l f o	l a h t i	უ ბ ე	מ ִ פ ְ ר ָ ץ	g o l f o	g o l f o	з а л и ́ в	g h u b a
				s p r y						s e r e l e p e	п о д в и ́ ж н ы й	
				N o h							н о	
				F u z h o u							Ф у ч ж о ́ у	
				a n t e n n i f o r m						a n t e n i f o r m e		
		v á n o č n í   p o l e n o		Y u l e   l o g		j o u l u h a l k o			c i o c c o   d i   N a t a l e		с в я ́ т о ч н о е   п о л е ́ н о	
				f u n c t i o n a l i s t i c a l l y		f u n k t i o n a l i s t i s e s t i						
		o m e g a		o m e g a		o o m e g a		א ו ֹ מ ֶ ג ָ ה	o m e g a	ó m e g a	о м е ́ г а	
				a n t i t h r o m b o t i c						a n t i t r o m b ó t i c o		
				c i r c a d i a n   r h y t h m		s i r k a d i a a n i r y t m i				r i t m o   c i r c a d i a n o		
				l a h m a c u n		l a h m a c u n					л а х м а д ж у ́ н	
				r e v i e w		k e r t a u s			r i v i s i t a z i o n e	r e v i s ã o	п о в т о р е ́ н и е	
				c i c e l y		s a k s a n k i r v e l i						
				c e r e b r a l   e d e m a		a i v o ö d e e m a						
				l e g		l e g i						s u r a
g o l f	ত র ঙ ্ গ	v l n a	b ø l g e	w a v e	o n d o	a a l t o	ტ ა ლ ღ ა	ג ַ ּ ל	o n d a	v a g a	в а л	w i m b i
		č a s o v á   z n a č k a		t i m e s t a m p		a i k a l e i m a				t i m e s t a m p	м е ́ т к а   в р е ́ м е н и	
				a s   m u c h		n i i n						
k o e k	প ি ঠ া	d o r t	l a g k a g e	c a k e	k u k o	k a k k u	ნ ა მ ც ხ ვ ა რ ი	ע ו ּ ג ָ ה	d o l c e	b o l o	к е к с	k e k i
m o o r d		v r a ž d a	m o r d	m u r d e r		m u r h a	მ კ ვ ლ ე ლ ო ბ ა	ר צ ח	o m i c i d i o	a s s a s s i n a t o	у б и ́ й с т в о	
				t h a l w e g						t a l v e g u e	т а ́ л ь в е г	
		m o m e n t	ø j e b l i k k e l i g t	i n s t a n t	m o m e n t o	h e t k i			i s t a n t e	i n s t a n t e	м о м е ́ н т	
				s h i f t		s h i f t				s h i f t	ш и ф т	
				W e l l e r i s m		w e l l e r i s m i			w e l l e r i s m o			
				b u c c a l		b u k k a a l i n e n						
				a n t e d i l u v i a n		a a t a m i n a i k a i n e n				a n t e d i l u v i a n o	д о п о т о ́ п н ы й	
				s h e e r		s u o r a				d i r e t o	о т в е ́ с н ы й	
				f r u i t   f l y							п е с т р о к р ы ́ л к а	
				d i s c o u r s e		d i s k u r s s i		ש י ח		d i s c u r s o	д и с к у ́ р с	
		p o l n í   n e m o c n i c e		f i e l d   h o s p i t a l		k e n t t ä s a i r a a l a			o s p e d a l e   d a   c a m p o	h o s p i t a l   d e   c a m p o	п о л е в о ́ й   г о с п и т а ́ л ь	
				M o a b i t e							м о а в и т я н к а	
				p l e a t		v e k k i			p i e g a	p r e g a	с к л а ́ д к а	
				a l c o h o l i c a l l y					a l c o l i c a m e n t e			
			o r g i e	o r g y	o r g i o	m ä s s ä i l y				o r g i a		
				h a n d l e		k a h v a						
		d ě d i č n o s t		i n h e r i t a n c e		p e r i n t ä			e r e d i t a r i e t à	h e r a n ç a	н а с л е ́ д о в а н и е	
				p a l a t a l		p a l a t a a l i n e n						
				t s a d e				צ				
	ব হ ু	m n o h o	m e g e t	m u c h	m u l t a	p a l j o n	ბ ე ვ რ ი	ה ַ ר ב ֵ ּ ה	m o l t o		н е м а ́ л о	
				h y p e r a c t i v e		h y p e r a k t i i v i n e n					г и п е р а к т и ́ в н ы й	
				t i m e l i n e s s		t ä s m ä l l i s y y s			t e m p e s t i v i t à	p o n t u a l i d a d e		
				a n t i s c h o l a s t i c						a n t i e s c o l á s t i c o		
				n o t i f i c a t i o n		t i e d o n a n t o	შ ე ტ ყ ო ბ ი ნ ე ბ ა	ה ו ֹ ד ָ ע ָ ה		a v i s o		
		r e l a t i v n í		s p e c i f i c		o m i n a i n e n						
		p o v ě s i t		h a n g	s u r h o k i g i	r i p u s t a a			a p p e n d e r e	p e n d u r a r	п о д в е ́ с и т ь	
				c y c l o h e x a n o l					c i c l o e s a n o l o			
				b u l l e t   h o l e		l u o d i n r e i k ä				t i r o		
				a r a l i a		a r a l i a				a r á l i a		
				c u p c a k e		n a m u p a l a					к о ́ ш е ч к а	
		r e p r e z e n t a c e		r e p r e s e n t a t i o n		r e p r e s e n t a a t i o	წ ა რ მ ო მ ა დ გ ე ნ ლ ო ბ ა			r e p r e s e n t a ç ã o		
		v i k e v		v e t c h		v i r n a			v e c c i a	e r v i l h a c a	в и ́ к а	
				m i n g l e		s e k o i t t a a			c o n t a m i n a r e		з а г р я з н я т ь	
				f i s h - e a t i n g   r a t		k a l a r a t t u						
				h e m a t o c h e m i c a l					e m a t o c h i m i c o			
				v a n e		h ö y t y				v e x i l o		
				s w e e p e r		l a k a i s i j a			s p a z z i n o		т р у б о ч и ́ с т к а	
				w h i r l w i n d		p y ö r r e m y r s k y					у р а г а ́ н	
				c i r r o s t r a t u s							п е р и с т о - с л о и ́ с т а я	
				a c i d i t y   f u n c t i o n		h a p p a m u u s f u n k t i o						
		j a l o v o s t		v a n i t y								
				h i a t u s		a u k k o			l a c u n a	l a c u n a	л а к у ́ н а	
				s o l i t a r y		y k s i n ä i n e n				s o l i t á r i o	о д и н о ч н ы й	
				t h e r m a l   p r i n t e r		l ä m p ö t u l o s t i n						
			s p a r e k a s s e	t h r i f t		s ä ä s t ö p a n k k i						
				p i q u a n t					p i c c a n t e	i n t e r e s s a n t e		
		o b ě t o v a t	o f r e	s a c r i f i c e		u h r a t a	გ ა წ ი რ ვ ა		s a c r i f i c a r e	s a c r i f i c a r	п о ж е ́ р т в о в а т ь	m u c h a n g a
				f a m i l i a r i t y							о з н а к о м л е н н о с т ь	
r o l p r e n t	চ ল চ ্ চ ি ত ্ র	f i l m	f i l m	m o v i e	f i l m o	e l o k u v a	კ ი ნ ო	ס ֶ ר ֶ ט	p e l l i c o l a	f i l m e	к а р т и ́ н а	f i l a m u
				n o t   g u i l t y		s y y t t ö m y y s					н е в и н о ́ в н ы й	
				p r e c i p i t a t e		t u l o s						
				o n   t h e   f l y		l e n n o s t a				s e m   s o b r e s s a l t o s	н а   л е т у ́	
		S I M   k a r t a		S u b s c r i b e r   I d e n t i t y   M o d u l e		S I M	ა ბ ო ნ ე ნ ტ ი ს   ი დ ე ნ ტ ი ფ ი ც ი რ ე ბ ი ს   მ ო დ უ ლ ი			m ó d u l o   d e   i d e n t i f i c a ç ã o   d o   a s s i n a n t e	м о ́ д у л ь   и д е н т и ф и к а ́ ц и и   а б о н е ́ н т а	
				r e p r e s e n t a t i o n a l i s m						r e p r e s e n t a c i o n a l i s m o		
		r e a l i s t a	r e a l i s t	r e a l i s t							р е а л и ́ с т к а	
				a c c o m m o d a b l e n e s s						a c o m o d a b i l i d a d e		
				d i s m o u n t		l a s k e a					с н я т ь	
				m i n i s t e r i a l		p a p p i s -				m i n i s t e r i a l		
		p o h á r	p o k a l	c u p		m a l j a		ג ָ ּ ב ִ י ע ַ	c o p p a	t a ç a	к у ́ б о к	k o m b e
				a g r e e a b l e							п о д х о д я ́ щ и й	
				s m a l l   s c r e e n		k u v a r u u t u		ה מ ס ך   ה ק ט ן	p i c c o l o   s c h e r m o			
				d i r e c t   m a r k e t i n g		s u o r a m a r k k i n o i n t i						
		s k a n z e n		o p e n - a i r   m u s e u m					m u s e o   a l l ' a p e r t o		М у з е й   п о д   о т к р ы т ы м   н е б о м	
		s t a n o v i s k o		o p i n i o n		r a t k a i s u e h d o t u s			c o n c l u s i o n i	c o n c l u s ã o		
				t r i p l e							т р о й н о ́ й	
				C r e o l e		k r e o l i		ק ר י א ו ל י	c r e o l o		к р е о ́ л к а	
				a n a t h e m a						a n á t e m a		
				r e c o m p e n s e		k o r v a t a				c o m p e n s a r	в о з м е с т и ́ т ь	
		i l e g a l i t a		i l l e g a l i t y								
			s t e n e t	s t o n y								
				b u l l e t l i k e		l u o t i m a i n e n						
				R u y   L o p e z							и с п а ́ н с к а я   п а ́ р т и я	
				l i g h t w e i g h t		k e v y t s a r j a l a i n e n				p e s o - l e v e		
				b l o o d   l i b e l						l i b e l o   d e   s a n g u e		
				b a c k w a r d		a l i k e h i t t y n y t			i n d i e t r o	a t r a s a d o	о т с т а ́ л ы й	
				r e d o l e n c e							б л а г о у х а ́ н и е	
				a n t i h u m a n						a n t i - h u m a n o		
				e x h a u s t l e s s		p ä ä s t ö t ö n						
				r e g i m e		h a l l i n t o j ä r j e s t e l m ä						
				d a f t					s t u p i d a	e s t ú p i d o	с л а б о у м н ы й	
				r e s o l v e		l e v i t ä						
				Z a r i a							З а ́ р и а	
				f u l l   s p e e d   a h e a d				ק ָ ד ִ י מ ָ ה   מ ָ ל ֵ א		a   t o d o   v a p o r		
				e x e c r a b l e					e s e c r a b i l e	e x e c r á v e l		
			a f r o d i s i a k u m	a p h r o d i s i a c	a m o r v e k a	l e m p e ä   n o s t a t t a v a			a f r o d i s i a c o	a f r o d i s í a c o		
		h ř e b í n e k	h a n e k a m	c o c k s c o m b		h a r j a h e l t t a		כ ַ ּ ר ְ ב ֹ ּ ל ֶ ת		c r i s t a	г р е б е ш о ́ к	
				d i l l y - d a l l y		p u u h a s t e l l a			p r o c r a s t i n a r e	p r o c r a s t i n a r	п р о х л а ж д а ́ т ь с я	
				c r o s s		r i s t i n p u u			c r o c e	c r u z	р а с п я ́ т и е	m s a l a b a
				g l i s t e n		k i m a l l u s						
		i n t r o s p e k t i v n í		i n t r o s p e c t i v e		i n t r o s p e k t i i v i n e n				i n t r o s p e c t i v o		
				r a g i n g		r a i v o p ä i n e n						
		b a n k é ř		b a n k		p e l i n h o i t a j a					б а н к о м ё т	
		k y m á c e t   s e		s t a g g e r		t o i k k a r o i d a			b a r c o l l a r e	c a m b a l e a r	ш а т а ́ т ь с я	
		p ř e h á ň k a		s h o w e r	d u ŝ o	k u u r o		מ מ ט ר		a g u a c e i r o	д о ́ ж д и к	
				a p p a r i t i o n		i l m e s t y s			a p p a r i z i o n e	a p a r i ç ã o	я в л е ́ н и е	
				d r a g		p e t t y m y s					р а з о ч а р о в а ́ н и е	
				t r i c k l e		n o r u t t a a						
				r e v e n u e		t u l o				r e n d a		
				c i s c o		a m e r i k a n m u i k k u					с и г	
				t r i p		k y t k e ä						
		p a t ř i t	h ø r e	b e l o n g		k u u l u a			a	p e r t e n c e r	п р и н а д л е ж а ́ т ь	
				s t r u t		p u l l i s t u a			p r o t u b e r a r e	p r o t u b e r a r		
				b a c k   f i r e							в с т р е ́ ч н ы й   п а л	
		b o ž í   m l ý n y   m e l o u   p o m a l u ,   a l e   j i s t ě		t h e   m i l l s   o f   t h e   g o d s   g r i n d   s l o w l y								
		p r o k r a s t i n a c e	o v e r s p r i n g s h a n d l i n g	p r o c r a s t i n a t i o n		l y k k ä y s			p r o c r a s t i n a z i o n e	p r o c r a s t i n a ç ã o	п р о к р а с т и н а ́ ц и я	
				b a r b e c u e						c h u r r a s c o	б а р б е к ю ́	
			j e g   h a r   a s t m a	I   h a v e   a s t h m a						e u   t e n h o   a s m a	у   м е н я ́   а ́ с т м а	
				a d r e n a l   c o r t e x		l i s ä m u n u a i s k u o r i						
				c a m p				ד ָ ּ ג ַ ר				k a m b i
				a d e p t		a s i a n t u n t i j a				a d e p t o	м а ́ с т е р	
		k r e v	b l o d	b l o o d		v e r i s u k u l a i s u u s				s a n g u e	к р о в ь	
				m a r k e d		h u o m a t t a v a						
		a d v o k a c i e		b a r		l a k i m i e s k u n t a			a v v o c a t u r a	a d v o c a c i a		
		s v i n ě	s v i n	h o g		s i k a	ღ ო რ ი	ח ז י ר		s u í n o	в е п р ь	
				g r i n d					f a t i c a t a			
				k o h l		k a j a a l i					к р а ́ с к а   д л я   в е к	
				f r o n t a l i s					m u s c o l o   f r o n t a l e			
				s y n t a x		s y n t a k s i				s i n t a x e	с и ́ н т а к с и с	
			s y d a f r i k a n s k   e n g e l s k	S o u t h   A f r i c a n   E n g l i s h		e t e l ä a f r i k a n e n g l a n t i				i n g l ê s   s u l - a f r i c a n o		
				e r r h i n e		a i v a s t u t t a v a						
				a b y s s a l   z o n e						z o n a   a b i s s a l		
				f e w		s e l k e ä						
				M e n n o n i t e					m e n n o n i t i		М е н н о н и т с т в о	
		p a r c i á l n í   d e r i v a c e		p a r t i a l   d e r i v a t i v e		o s i t t a i s d e r i v a a t t a		נ ג ז ר ת   ח ל ק י ת		d e r i v a d a   p a r c i a l	ч а с т н а я   п р о и з в о д н а я	
				d e c e i t		v i l p i l l i s y y s					л ж и ́ в о с т ь	
				s e l e n a t e					s e l e n i a t o			
				l o c k   u p		j u m i t t u a				t r a v a r		
				a n t h u r i u m		f l a m i n g o k u k k a				a n t ú r i o		
				w i c k e r w o r k		k o r i t y ö						
				c a d e n c e		r y t m i						
				r a i n s t o r m	p l u v e g o	r a n k k a s a d e			t e m p o r a l e	t e m p o r a l	п р о л и в н о ́ й   д о ж д ь	
