Orthography	Segments
I D E N T I T Y	aɪ d ɛ n t ʌ t i
I D E O L O G I C A L	aɪ d i ʌ l ɑ dʒ ɪ k ʌ l
I D E O L O G I C A L L Y	aɪ d i ʌ l ɑ dʒ ɪ k l i
I D E O L O G I E S	aɪ d i ɑ l ʌ dʒ i z
I D E O L O G I S T	aɪ d i ɑ l ʌ dʒ ʌ s t
I D E O L O G I S T S	aɪ d i ɑ l ʌ dʒ ɪ s t s
I D E O L O G U E	aɪ d i ʌ l oʊ ɡ
I D E O L O G U E S	aɪ d i ʌ l ɔ ɡ z
I D E O L O G Y	aɪ d i ɑ l ʌ dʒ i
I D E O N O M Y	aɪ d i ɑ n ʌ m i
I D E T T E	aɪ d ɛ t
I D I D E R O D	aɪ d ɪ d ɝ ɑ d
I D I O C Y	ɪ d i ʌ s i
I D I O M	ɪ d i ʌ m
I D I O M A T I C	ɪ d i ʌ m æ t ɪ k
I D I O M S	ɪ d i ʌ m z
I D I O P A T H	ɪ d i oʊ p æ θ
I D I O P A T H I C	ɪ d i oʊ p æ θ ʌ k
I D I O S Y N C R A S I E S	ɪ d i oʊ s ɪ n k ɹ ʌ s i z
I D I O S Y N C R A S Y	ɪ d i oʊ s ɪ n k ɹ ʌ s i
I D I O S Y N C R A T I C	ɪ d i oʊ s ɪ n k ɹ æ t ɪ k
I D I O T	ɪ d i ʌ t
I D I O T I C	ɪ d i ɑ t ɪ k
I D I O T I C A L L Y	ɪ d i ɑ t ɪ k l i
I D I O T S	ɪ d i ʌ t s
I D I T A R O D	ɪ d ɪ t ʌ ɹ ɔ d
I D L E	aɪ d ʌ l
I D L E D	aɪ d ʌ l d
I D L E M A N	aɪ d ʌ l m ʌ n
I D L E N E S S	aɪ d ʌ l n ʌ s
I D L E R	aɪ d ʌ l ɝ
I D L E R	aɪ d l ɝ
I D L E S	aɪ d ʌ l z
I D L E W I L D	aɪ d ʌ l w aɪ l d
I D L I N G	aɪ d ʌ l ɪ ŋ
I D L I N G	aɪ d l ɪ ŋ
I D L Y	aɪ d l i
I D O	i d oʊ
I D O L	aɪ d ʌ l
I D O L A	ɪ d oʊ l ʌ
I D O L A T R O U S	aɪ d ɑ l ʌ t ɹ ʌ s
I D O L A T R Y	aɪ d ɑ l ʌ t ɹ i
I D O L I Z E	aɪ d ʌ l aɪ z
I D O L I Z E D	aɪ d ʌ l aɪ z d
I D O L I Z E S	aɪ d ʌ l aɪ z ɪ z
I D O L I Z I N G	aɪ d ʌ l aɪ z ɪ ŋ
I D O L S	aɪ d ʌ l z
I D O N A	ɪ d oʊ n ʌ
I D O N E Y	ɪ d oʊ n i
I D O N I A	ɪ d oʊ n i ʌ
I D R O C A R B U R I	ɪ d ɹ ɑ k ɑ ɹ b ʊ ɹ i
I D S	ɪ d z
I D S	aɪ d i z
I D U N A	ɪ d u n ʌ
I D Y L L	aɪ d ʌ l
I D Y L L I C	aɪ d ɪ l ɪ k
I E E E	aɪ t ɹ ɪ p l ʌ i
I E R A R D I	i ɝ ɑ ɹ d i
I E R N E	ɪ ɹ n
I E Z Z I	i ɛ t s i
I F	ɪ f
I F S	ɪ f s
I F A S	aɪ f ʌ s
I F F Y	ɪ f i
I F I L	aɪ f i l
I F I L L	aɪ f i l
I F I N T	aɪ f ɪ n t
I F O R	aɪ f ɔ ɹ
I F S	ɪ f s
I G A R A S H I	i ɡ ɑ ɹ ɑ ʃ i
I G E	aɪ dʒ
I G E L	ɪ ɡ ʌ l
I G E N E	aɪ dʒ i n
I G E R	aɪ ɡ ɝ
I G L E H A R T	aɪ ɡ ʌ l h ɑ ɹ t
I G L E S I A	i ɡ l eɪ s i ʌ
I G L E S I A S	ɪ ɡ l eɪ s i ɪ s
I G L O O	ɪ ɡ l u
I G M A N	ɪ ɡ m ʌ n
I G N A C E	ɪ ɡ n ʌ s
I G N A C I O	ɪ ɡ n ɑ s i oʊ
I G N A C I O S	ɪ ɡ n ɑ s i oʊ z
I G N A S I A K	ɪ ɡ n ɑ s i æ k
I G N A T I A	ɪ ɡ n ɑ ʃ ʌ
I G N A T I U S	ɪ ɡ n eɪ ʃ ʌ s
I G N A T O W S K I	ɪ ɡ n ʌ t ɔ f s k i
I G N A T Z	ɪ ɡ n ʌ t s
I G N E O U S	ɪ ɡ n i ʌ s
I G N I T E	ɪ ɡ n aɪ t
I G N I T E D	ɪ ɡ n aɪ t ɪ d
I G N I T E S	ɪ ɡ n aɪ t s
I G N I T I N G	ɪ ɡ n aɪ t ɪ ŋ
I G N I T I O N	ɪ ɡ n ɪ ʃ ʌ n
I G N O B L E	ɪ ɡ n oʊ b ʌ l
I G N O M I N I O U S	ɪ ɡ n ʌ m ɪ n i ʌ s
I G N O M I N Y	ɪ ɡ n oʊ m ɪ n i
I G N O R A M U S	ɪ ɡ n ɝ eɪ m ʌ s
I G N O R A N C E	ɪ ɡ n ɝ ʌ n s
I G N O R A N T	ɪ ɡ n ɝ ʌ n t
I G N O R E	ɪ ɡ n ɔ ɹ
I G N O R E D	ɪ ɡ n ɔ ɹ d
I G N O R E S	ɪ ɡ n ɔ ɹ z
I G N O R I N G	ɪ ɡ n ɔ ɹ ɪ ŋ
I G O	i ɡ oʊ
I G O E	i ɡ oʊ
I G O N	aɪ ɡ ʌ n
I G O R	ɪ ɡ ɔ ɹ
I G O R	i ɡ ɔ ɹ
I G O U	ɪ ɡ u
I G U A N A	ɪ ɡ w ɑ n ʌ
I G U A N A S	ɪ ɡ w ɑ n ʌ z
I G U C H I	i ɡ u tʃ i
I G U S H I	ɪ ɡ u ʃ i
I H A S Z	aɪ h æ s
I H D E	ɪ d
I H L E	aɪ h ʌ l
I H L E N F E L D T	ɪ l ɪ n f ɪ l t
I H N E N	ɪ n ʌ n
I H R I G	ɪ ɹ ɪ ɡ
I H R K E	ɪ ɹ k
I I A M S	i ʌ m z
I I D A	i d ʌ
I I E	i i
I J A M E S	aɪ dʒ eɪ m z
I J A Z	ɪ dʒ ʌ z
I J A Z	i dʒ ɑ z
I K A E S	aɪ k æ s
I K A R D	ɪ k ɝ d
I K E	aɪ k
I K E S	aɪ k s
I K E A	aɪ k i ʌ
I K E D A	ɪ k eɪ d ʌ
I K E N B E R R Y	aɪ k ʌ n b ɛ ɹ i
I K E R D	ɪ k ɝ d
I K E U C H I	i k u tʃ i
I K E Y	ɪ k i
I K I E	ɪ k i
I K L E	ɪ k ʌ l
I K N E R	ɪ k n ɝ
I K O N	aɪ k ɑ n
I L	ɪ l
I L A	i l ʌ
I L A L I S	ɪ l æ l ʌ s
I L A L I S	ɪ l æ l ʌ s
I L A L I S S	ɪ l æ l ʌ s ɪ s
I L A N	i l ɑ n
I L A N A	ɪ l ɑ n ʌ
I L A N A S	ɪ l ɑ n ʌ z
I L A R D I	ɪ l ɑ ɹ d i
I L B O	ɪ l b oʊ
I L E A N A	ɪ l i æ n ʌ
I L E N E	ɪ l i n
I L E R	aɪ l ɝ
I L E S	aɪ l z
I L E T O	aɪ l eɪ d oʊ
I L G	ɪ l ɡ
I L G E N F R I T Z	ɪ l ɡ ɪ n f ɹ ɪ t s
I L H A E	ɪ l h eɪ
I L I A D	ɪ l i ʌ d
I L I A N O	ɪ l i ɑ n oʊ
I L I D Z A	ɪ l ɪ d z ʌ
I L I E S C U	ɪ l i ɛ s k j u
I L I F F	ɪ l ɪ f
I L J I N	ɪ l dʒ ɪ n
I L K	ɪ l k
I L K A	ɪ l k ʌ
I L L	ɪ l
I L L E G A L	ɪ l i ɡ ʌ l
I L L E G A L I T I E S	ɪ l i ɡ æ l ɪ t i z
I L L E G A L I T Y	ɪ l i ɡ æ l ɪ t i
I L L E G A L L Y	ɪ l i ɡ ʌ l i
I L L E G A L S	ɪ l i ɡ ʌ l z
I L L E G I B L E	ɪ l ɛ dʒ ʌ b ʌ l
I L L E G I T I M A C Y	ɪ l ɪ dʒ ɪ t ʌ m ʌ s i
I L L E G I T I M A T E	ɪ l ɪ dʒ ɪ t ʌ m ɪ t
I L L E S	aɪ l z
I L L I C I T	ɪ l ɪ s ʌ t
I L L I C I T L Y	ɪ l ɪ s ɪ t l i
I L L I G	ɪ l ɪ ɡ
I L L I N A	ɪ l i n ʌ
I L L I N G W O R T H	ɪ l ɪ ŋ w ɝ θ
I L L I N O I S	ɪ l ʌ n ɔɪ
I L L I N O I S	ɪ l ʌ n ɔɪ z
I L L I N O I S	ɪ l ɪ n ɔɪ z
I L L I N O I S S	ɪ l ɪ n ɔɪ z
I L L I Q U I D	ɪ l ɪ k w ɪ d
I L L I Q U I D I T Y	ɪ l ɪ k w ɪ d ɪ t i
I L L I T E R A C Y	ɪ l ɪ t ɝ ʌ s i
I L L I T E R A T E	ɪ l ɪ t ɝ ʌ t
I L L I T E R A T E S	ɪ l ɪ t ɝ ʌ t s
I L L N E S S	ɪ l n ʌ s
I L L N E S S E S	ɪ l n ʌ s ɪ z
I L L O G I C	ɪ l ɑ dʒ ɪ k
I L L O G I C A L	ɪ l ɑ dʒ ɪ k ʌ l
I L L S	ɪ l z
I L L U M I N A T E	ɪ l u m ɪ n ɪ t
I L L U M I N A T E D	ɪ l u m ʌ n eɪ t ʌ d
I L L U M I N A T E S	ɪ l u m ʌ n eɪ t s
I L L U M I N A T I N G	ɪ l u m ʌ n eɪ t ɪ ŋ
I L L U M I N A T I O N	ɪ l u m ʌ n eɪ ʃ ʌ n
I L L U M I N A T O R	ɪ l u m ʌ n eɪ t ɝ
I L L U M I N E D	ɪ l u m ʌ n d
I L L U S I O N	ɪ l u ʒ ʌ n
I L L U S I O N A R Y	ɪ l u ʒ ʌ n ɛ ɹ i
I L L U S I O N I S M	ɪ l u ʒ ʌ n ɪ z ʌ m
I L L U S I O N I S T	ɪ l u ʒ ʌ n ʌ s t
I L L U S I O N I S T S	ɪ l u ʒ ʌ n ʌ s t s
I L L U S I O N I S T S	ɪ l u ʒ ʌ n ʌ s t s
I L L U S I O N S	ɪ l u ʒ ʌ n z
I L L U S I V E	ɪ l u s ɪ v
I L L U S O R Y	ɪ l u s ɝ i
I L L U S T R A T E	ɪ l ʌ s t ɹ eɪ t
I L L U S T R A T E D	ɪ l ʌ s t ɹ eɪ t ʌ d
I L L U S T R A T E D	ɪ l ʌ s t ɹ eɪ t ɪ d
I L L U S T R A T E S	ɪ l ʌ s t ɹ eɪ t s
I L L U S T R A T I N G	ɪ l ʌ s t ɹ eɪ t ɪ ŋ
I L L U S T R A T I O N	ɪ l ʌ s t ɹ eɪ ʃ ʌ n
I L L U S T R A T I O N S	ɪ l ʌ s t ɹ eɪ ʃ ʌ n z
I L L U S T R A T I V E	ɪ l ʌ s t ɹ ʌ t ɪ v
I L L U S T R A T O R	ɪ l ʌ s t ɹ eɪ t ɝ
I L L U S T R A T O R S	ɪ l ʌ s t ɹ eɪ t ɝ z
I L L U S T R I O U S	ɪ l ʌ s t ɹ i ʌ s
I L L Y R I A N	ɪ l ɪ ɹ i ʌ n
I L O	aɪ l oʊ
I L O N A	ɪ l oʊ n ʌ
I L O P A N G O	i l oʊ p æ ŋ ɡ oʊ
I L S A	ɪ l s ʌ
I L S E	ɪ l s
I L S L E Y	ɪ l z l i
I L V A	ɪ l v ʌ
I L Y A	ɪ l j ʌ
I L Y A R O N O F F	ɪ l j ɑ ɹ ɔ n ɔ f
I M	ɪ m
I M A G E	ɪ m ʌ dʒ
I M A G E	ɪ m ɪ dʒ
I M A G E R I E S	ɪ m ɪ dʒ ɹ i z
I M A G E R Y	ɪ m ʌ dʒ ɹ i
I M A G E R Y	ɪ m ɪ dʒ ɹ i
I M A G E S	ɪ m ʌ dʒ ʌ z
I M A G E S	ɪ m ɪ dʒ ɪ z
I M A G I N A B L E	ɪ m æ dʒ ʌ n ʌ b ʌ l
I M A G I N A R Y	ɪ m æ dʒ ʌ n ɛ ɹ i
I M A G I N A T I O N	ɪ m æ dʒ ʌ n eɪ ʃ ʌ n
I M A G I N A T I O N S	ɪ m æ dʒ ʌ n eɪ ʃ ʌ n z
I M A G I N A T I V E	ɪ m æ dʒ ʌ n ʌ t ɪ v
I M A G I N A T I V E L Y	ɪ m æ dʒ ʌ n ʌ t ɪ v l i
I M A G I N E	ɪ m æ dʒ ʌ n
I M A G I N E D	ɪ m æ dʒ ʌ n d
I M A G I N E E R	ɪ m æ dʒ ʌ n ɪ ɹ
I M A G I N E E R I N G	ɪ m æ dʒ ʌ n ɪ ɹ ɪ ŋ
I M A G I N E S	ɪ m æ dʒ ʌ n z
I M A G I N G	ɪ m ɪ dʒ ɪ ŋ
I M A G I N I N G	ɪ m æ dʒ ʌ n ɪ ŋ
I M A I	ɪ m aɪ
I M A M	aɪ m æ m
I M A M U R A	ɪ m ɑ m ʊ ɹ ɑ
I M A N	aɪ m ʌ n
I M A R I	i m ɑ ɹ i
I M A S C O	ɪ m æ s oʊ
I M A X	aɪ m æ k s
I M A X	aɪ m æ k s
I M A X S	aɪ m æ k s ɪ z
I M B A L A N C E	ɪ m b æ l ʌ n s
I M B A L A N C E S	ɪ m b æ l ʌ n s ɪ z
I M B E C I L E	ɪ m b ʌ s ʌ l
I M B E C I L E	ɪ m b ʌ s aɪ l
I M B E C I L E S	ɪ m b ʌ s ʌ l z
I M B E C I L E S	ɪ m b ʌ s aɪ l z
I M B E D	ɪ m b ɛ d
I M B E D D E D	ɪ m b ɛ d ɪ d
I M B E D S	ɪ m b ɛ d z
I M B E R	ɪ m b ɝ
I M B E R A	ɪ m b ɝ ʌ
I M B I B E	ɪ m b aɪ b
I M B I B E D	ɪ m b aɪ b d
I M B O D E N	ɪ m b oʊ d ʌ n
I M B R O G L I O	ɪ m b ɹ oʊ l j oʊ
I M B R O G N O	ɪ m b ɹ oʊ ɡ n oʊ
I M B U E	ɪ m b j u
I M B U E D	ɪ m b j u d
I M B U R G I A	ɪ m b ɝ ɡ i ʌ
I M C E R A	ɪ m s ɛ ɹ ʌ
I M E L	ɪ m ʌ l
I M E L D A	ɪ m ɛ l d ʌ
I M E S	aɪ m z
I M H O F	ɪ m h ʌ f
I M H O F F	ɪ m h ɔ f
I M I G	ɪ m ɪ ɡ
I M I T A B L E	ɪ m ʌ t ʌ b ʌ l
I M I T A T E	ɪ m ʌ t eɪ t
I M I T A T E D	ɪ m ʌ t eɪ t ɪ d
I M I T A T E S	ɪ m ʌ t eɪ t s
I M I T A T I N G	ɪ m ʌ t eɪ t ɪ ŋ
I M I T A T I O N	ɪ m ʌ t eɪ ʃ ʌ n
I M I T A T I O N S	ɪ m ɪ t eɪ ʃ ʌ n z
I M I T A T I V E	ɪ m ʌ t eɪ t ɪ v
I M I T A T O R	ɪ m ʌ t eɪ t ɝ
I M I T A T O R S	ɪ m ɪ t eɪ t ɝ z
I M L A Y	ɪ m l eɪ
I M L E R	ɪ m l ɝ
I M M	ɪ m
I M M A C U L A T E	ɪ m æ k j u l ɪ t
I M M A C U L A T E L Y	ɪ m æ k j ʌ l ʌ t l i
I M M A N E N C E	ɪ m ʌ n ʌ n s
I M M A N E N T	ɪ m ʌ n ʌ n t
I M M A N U E L	ɪ m ʌ n ʊ l
I M M A T E R I A L	ɪ m ʌ t ɪ ɹ i ʌ l
I M M A T U R E	ɪ m ʌ t j ʊ ɹ
I M M A T U R I T Y	ɪ m ʌ tʃ ʊ ɹ ɪ t i
I M M E A S U R A B L E	ɪ m ɛ ʒ ɝ æ b ʌ l
I M M E A S U R A B L Y	ɪ m ɛ ʒ ɝ æ b l i
I M M E D I A C Y	ɪ m i d i ʌ s i
I M M E D I A T E	ɪ m i d i ʌ t
I M M E D I A T E L Y	ɪ m i d i ʌ t l i
I M M E L	ɪ m ʌ l
I M M E M O R I A L	ɪ m ʌ m ɔ ɹ i ʌ l
I M M E N S E	ɪ m ɛ n s
I M M E N S E L Y	ɪ m ɛ n s l i
I M M E R M A N	ɪ m ɝ m ʌ n
I M M E R S E	ɪ m ɝ s
I M M E R S E D	ɪ m ɝ s t
I M M E R S I O N	ɪ m ɝ ʒ ʌ n
I M M I G R A N T	ɪ m ʌ ɡ ɹ ʌ n t
I M M I G R A N T S	ɪ m ʌ ɡ ɹ ʌ n t s
I M M I G R A N T S	ɪ m ʌ ɡ ɹ ʌ n t s
I M M I G R A N T S	ɪ m ɪ ɡ ɹ ʌ n t s
I M M I G R A T E	ɪ m ʌ ɡ ɹ eɪ t
I M M I G R A T E D	ɪ m ʌ ɡ ɹ eɪ t ɪ d
I M M I G R A T I O N	ɪ m ʌ ɡ ɹ eɪ ʃ ʌ n
I M M I N E N C E	ɪ m ʌ n ʌ n s
I M M I N E N T	ɪ m ʌ n ʌ n t
I M M I N E N T L Y	ɪ m ʌ n ʌ n t l i
I M M I S C I B L E	ɪ m ɪ s ʌ b ʌ l
I M M O B I L E	ɪ m oʊ b ʌ l
I M M O B I L E	ɪ m oʊ b aɪ l
I M M O B I L E	ɪ m oʊ b i l
I M M O B I L I T Y	ɪ m oʊ b ɪ l ɪ t i
I M M O B I L I Z E	ɪ m oʊ b ʌ l aɪ z
I M M O B I L I Z E D	ɪ m oʊ b ʌ l aɪ z d
I M M O B I L I Z I N G	ɪ m oʊ b ʌ l aɪ z ɪ ŋ
I M M O L A T E	ɪ m ʌ l eɪ t
I M M O L A T E D	ɪ m ʌ l eɪ t ʌ d
I M M O L A T E S	ɪ m ʌ l eɪ t s
I M M O L A T I N G	ɪ m ʌ l eɪ t ɪ ŋ
I M M O L A T I O N	ɪ m ʌ l eɪ ʃ ʌ n
I M M O R A L	ɪ m ɔ ɹ ʌ l
I M M O R A L I T Y	ɪ m ɝ æ l ɪ t i
I M M O R T A L	ɪ m ɔ ɹ t ʌ l
I M M O R T A L I T Y	ɪ m ɔ ɹ t æ l ɪ t i
I M M O R T A L I Z E	ɪ m ɔ ɹ t ʌ l aɪ z
I M M O R T A L I Z E D	ɪ m ɔ ɹ t ʌ l aɪ z d
I M M O R T A L I Z E S	ɪ m ɔ ɹ t ʌ l aɪ z ɪ z
I M M O R T A L I Z I N G	ɪ m ɔ ɹ t ʌ l aɪ z ɪ ŋ
I M M O R T A L S	ɪ m ɔ ɹ t ʌ l z
I M M O T I L E	ɪ m oʊ t ʌ l
I M M O V A B L E	ɪ m u v ʌ b ʌ l
I M M U	ɪ m j u
I M M U L O G I C	ɪ m j u l ɑ dʒ ɪ k
I M M U N E	ɪ m j u n
I M M U N E T E C H	ɪ m j u n t ɛ k
I M M U N E X	ɪ m j u n ɛ k s
I M M U N I T I E S	ɪ m j u n ɪ t i z
I M M U N I T Y	ɪ m j u n ʌ t i
I M M U N I T Y	ɪ m j u n ɪ t i
I M M U N I Z A T I O N	ɪ m j u n ʌ z eɪ ʃ ʌ n
I M M U N I Z A T I O N S	ɪ m j u n ʌ z eɪ ʃ ʌ n z
I M M U N I Z E	ɪ m j u n aɪ z
I M M U N I Z E D	ɪ m j ʌ n aɪ z d
I M M U N I Z E S	ɪ m j ʌ n aɪ z ɪ z
I M M U N I Z I N G	ɪ m j ʌ n aɪ z ɪ ŋ
I M M U N O	ɪ m j u n oʊ
I M M U N O D E F I C I E N C Y	ɪ m j u n oʊ d ɪ f ɪ ʃ ʌ n s i
I M M U N O L O G I C A L	ɪ m j u n ʌ l ɑ dʒ ɪ k ʌ l
I M M U N O L O G I S T	ɪ m j u n ɑ l ʌ dʒ ɪ s t
I M M U N O L O G Y	ɪ m j u n ɑ l ʌ dʒ i
I M M U N O M E D I C	ɪ m j u n oʊ m ɛ d ɪ k
I M M U N O M E D I C S	ɪ m j u n oʊ m ɛ d ɪ k s
I M M U N O P E R O X I D A S E	ɪ m j u n oʊ p ɛ ɹ ɔ k s ɪ d eɪ z
I M M U N O T H E R A P Y	ɪ m j u n oʊ θ ɛ ɹ ʌ p i
I M M U T A B L E	ɪ m j u t ʌ b ʌ l
I M N E T	ɪ m n ɛ t
I M O	aɪ m oʊ
I M O	aɪ ɛ m oʊ
I M O G E N	ɪ m ʌ ɡ ʌ n
I M O G E N E	ɪ m ʌ dʒ i n
I M O N D I	ɪ m oʊ n d i
I M O N D I	ɪ m ɑ n d i
I M P	ɪ m p
I M P A C T	ɪ m p æ k t
I M P A C T	ɪ m p æ k t
I M P A C T E D	ɪ m p æ k t ɪ d
I M P A C T E D	ɪ m p æ k t ɪ d
I M P A C T I N G	ɪ m p æ k t ɪ ŋ
I M P A C T S	ɪ m p æ k t s
I M P A C T S	ɪ m p æ k t s
I M P A I R	ɪ m p ɛ ɹ
I M P A I R E D	ɪ m p ɛ ɹ d
I M P A I R I N G	ɪ m p ɛ ɹ ɪ ŋ
I M P A I R M E N T	ɪ m p ɛ ɹ m ʌ n t
I M P A I R M E N T S	ɪ m p ɛ ɹ m ʌ n t s
I M P A I R S	ɪ m p ɛ ɹ z
I M P A L A	ɪ m p ɑ l ʌ
I M P A L E	ɪ m p eɪ l
I M P A L E D	ɪ m p eɪ l d
I M P A L E S	ɪ m p eɪ l z
I M P A L I N G	ɪ m p eɪ l ɪ ŋ
I M P A N E L	ɪ m p æ n ʌ l
I M P A N E L E D	ɪ m p æ n ʌ l d
I M P A R T	ɪ m p ɑ ɹ t
I M P A R T E D	ɪ m p ɑ ɹ t ɪ d
I M P A R T I A L	ɪ m p ɑ ɹ ʃ ʌ l
I M P A R T I A L I T Y	ɪ m p ɑ ɹ ʃ i æ l ɪ t i
I M P A R T I A L L Y	ɪ m p ɑ ɹ ʃ ʌ l i
I M P A R T I N G	ɪ m p ɑ ɹ t ɪ ŋ
I M P A R T S	ɪ m p ɑ ɹ t s
I M P A S S A B L E	ɪ m p æ s ʌ b ʌ l
I M P A S S E	ɪ m p æ s
I M P A S S E	ɪ m p æ s
I M P A S S I O N	ɪ m p æ ʃ ʌ n
I M P A S S I O N E D	ɪ m p æ ʃ ʌ n d
I M P A S S I V E	ɪ m p æ s ɪ v
I M P A S S I V E L Y	ɪ m p æ s ɪ v l i
I M P A S T A T O	ɪ m p ɑ s t ɑ t oʊ
I M P A T I E N C E	ɪ m p eɪ ʃ ʌ n s
I M P A T I E N S	ɪ m p eɪ ʃ ʌ n z
I M P A T I E N T	ɪ m p eɪ ʃ ʌ n t
I M P A T I E N T L Y	ɪ m p eɪ ʃ ʌ n t l i
I M P E A C H	ɪ m p i tʃ
I M P E A C H A B L E	ɪ m p i tʃ ʌ b ʌ l
I M P E A C H E D	ɪ m p i tʃ t
I M P E A C H E S	ɪ m p i tʃ ʌ z
I M P E A C H I N G	ɪ m p i tʃ ɪ ŋ
I M P E A C H M E N T	ɪ m p i tʃ m ʌ n t
I M P E A C H M E N T S	ɪ m p i tʃ m ʌ n t s
I M P E C C A B L E	ɪ m p ɛ k ʌ b ʌ l
I M P E C C A B L Y	ɪ m p ɛ k ʌ b l i
I M P E D A N C E	ɪ m p i d ʌ n s
I M P E D E	ɪ m p i d
I M P E D E D	ɪ m p i d ɪ d
I M P E D E S	ɪ m p i d z
I M P E D I M E N T	ɪ m p ɛ d ʌ m ʌ n t
I M P E D I M E N T S	ɪ m p ɛ d ʌ m ʌ n t s
I M P E D I N G	ɪ m p i d ɪ ŋ
I M P E L	ɪ m p ɛ l
I M P E L L E D	ɪ m p ɛ l d
I M P E N D	ɪ m p ɛ n d
I M P E N D I N G	ɪ m p ɛ n d ɪ ŋ
I M P E N E T R A B L E	ɪ m p ɛ n ʌ t ɹ ʌ b ʌ l
I M P E R A T I V E	ɪ m p ɛ ɹ ʌ t ɪ v
I M P E R A T I V E S	ɪ m p ɛ ɹ ʌ t ɪ v z
I M P E R A T O	ɪ m p ɝ ɑ t oʊ
I M P E R C E P T I B L E	ɪ m p ɝ s ɛ p t ɪ b ʌ l
I M P E R C E P T I B L Y	ɪ m p ɝ s ɛ p t ɪ b l i
I M P E R F E C T	ɪ m p ɝ f ɪ k t
I M P E R F E C T I O N	ɪ m p ɝ f ɛ k ʃ ʌ n
I M P E R F E C T I O N S	ɪ m p ɝ f ɛ k ʃ ʌ n z
I M P E R F E C T L Y	ɪ m p ɝ f ɪ k t l i
I M P E R I A	ɪ m p i ɹ i ʌ
I M P E R I A L	ɪ m p ɪ ɹ i ʌ l
I M P E R I A L S	ɪ m p ɪ ɹ i ʌ l z
I M P E R I A L E	ɪ m p ɝ i ɑ l i
I M P E R I A L I S M	ɪ m p ɪ ɹ i ʌ l ɪ z ʌ m
I M P E R I A L I S T	ɪ m p ɪ ɹ i ʌ l ɪ s t
I M P E R I A L I S T I C	ɪ m p i ɹ i ʌ l ɪ s t ɪ k
I M P E R I A L I S T S	ɪ m p ɪ ɹ i ʌ l ɪ s t s
I M P E R I L	ɪ m p ɛ ɹ ʌ l
I M P E R I L E D	ɪ m p ɛ ɹ ʌ l d
I M P E R I L I N G	ɪ m p ɛ ɹ ʌ l ɪ ŋ
I M P E R I L S	ɪ m p ɛ ɹ ʌ l z
I M P E R I O U S	ɪ m p ɪ ɹ i ʌ s
I M P E R M I S S I B L E	ɪ m p ɝ m ɪ s ɪ b ʌ l
I M P E R S O N A L	ɪ m p ɝ s ʌ n ʌ l
I M P E R S O N A L I T Y	ɪ m p ɝ s ʌ n æ l ʌ t i
I M P E R S O N A T E	ɪ m p ɝ s ʌ n eɪ t
I M P E R S O N A T E D	ɪ m p ɝ s ʌ n eɪ t ɪ d
I M P E R S O N A T E S	ɪ m p ɝ s ʌ n eɪ t s
I M P E R S O N A T I N G	ɪ m p ɝ s ʌ n eɪ t ɪ ŋ
I M P E R S O N A T I O N	ɪ m p ɝ s ʌ n eɪ ʃ ʌ n
I M P E R S O N A T O R	ɪ m p ɝ s ʌ n eɪ t ɝ
I M P E R S O N A T O R S	ɪ m p ɝ s ʌ n eɪ t ɝ z
I M P E R T I N E N T	ɪ m p ɝ t ʌ n ʌ n t
I M P E R V I O U S	ɪ m p ɝ v i ʌ s
I M P E T U O U S	ɪ m p ɛ tʃ w ʌ s
I M P E T U S	ɪ m p ʌ t ʌ s
I M P I N G E	ɪ m p ɪ n dʒ
I M P I N G E D	ɪ m p ɪ n dʒ d
I M P I N G E S	ɪ m p ɪ n dʒ ɪ z
I M P I N G I N G	ɪ m p ɪ n dʒ ɪ ŋ
I M P I O U S	ɪ m p aɪ ʌ s
I M P I S H	ɪ m p ɪ ʃ
I M P L A C A B L E	ɪ m p l æ k ʌ b ʌ l
I M P L A N T	ɪ m p l æ n t
I M P L A N T	ɪ m p l æ n t
I M P L A N T A B L E	ɪ m p l æ n t ʌ b ʌ l
I M P L A N T A T I O N	ɪ m p l æ n t eɪ ʃ ʌ n
I M P L A N T E D	ɪ m p l æ n t ɪ d
I M P L A N T I N G	ɪ m p l æ n t ɪ ŋ
I M P L A N T S	ɪ m p l æ n t s
I M P L A N T S	ɪ m p l æ n t s
I M P L A U S I B L E	ɪ m p l ɔ z ʌ b ʌ l
I M P L A U S I B L Y	ɪ m p l ɔ z ʌ b l i
I M P L E M E N T	ɪ m p l ʌ m ʌ n t
I M P L E M E N T A T I O N	ɪ m p l ʌ m ɛ n t eɪ ʃ ʌ n
I M P L E M E N T A T I O N S	ɪ m p l ʌ m ɛ n t eɪ ʃ ʌ n z
I M P L E M E N T E D	ɪ m p l ʌ m ɛ n t ʌ d
I M P L E M E N T E D	ɪ m p l ʌ m ɛ n ʌ d
I M P L E M E N T I N G	ɪ m p l ʌ m ɛ n t ɪ ŋ
I M P L E M E N T I N G	ɪ m p l ʌ m ɛ n ɪ ŋ
I M P L E M E N T S	ɪ m p l ʌ m ʌ n t s
I M P L I C A T E	ɪ m p l ɪ k eɪ t
I M P L I C A T E D	ɪ m p l ɪ k eɪ t ɪ d
I M P L I C A T E S	ɪ m p l ɪ k eɪ t s
I M P L I C A T I N G	ɪ m p l ɪ k eɪ t ɪ ŋ
I M P L I C A T I O N	ɪ m p l ʌ k eɪ ʃ ʌ n
